Norwegian,English
jeff,jeff
behandlet,treated
radioen,radio
ligg,lie
kjekk,handsome
gary,gary
avstand,distance
forklaring,explanation
klubben,club
pressen,press
behov,need
bomben,bomb
beviser,proves
lytter,listener
takle,tackle
falske,fake
innblandet,involved
broen,bridge
van,van
julia,julia
elizabeth,elizabeth
forberedt,prepared
ansvaret,responsibility
imponerende,impressive
sviktet,betrayed
spar,save
overhodet,whatsoever
foten,foot
monster,pattern
tilbud,offer
snille,kind
hestene,horses
kniv,knife
emily,emily
ordene,words
europa,Europe
angriper,aggressor
slappe,relax
voksne,adult
tim,hour
nytte,benefit
forstyrrer,disturb
langs,along
drukket,drank
kamera,camera
reiste,travelled
månen,moon
gaten,street
energi,Energy
flaske,bottle
veier,roads
sjelen,soul
bekreftet,confirmed
prins,prince
løsning,solution
lås,lock
innså,realized
skjebnen,fate
tilby,offer
rydde,tidy
lyd,noise
roma,rome
dyktig,skilful
papirene,the papers
vennlig,friendly
takker,thank
skjuler,hides
vokser,grow
tider,times
spilt,play
fikset,fixed
husket,remembered
viktigere,more important
fiende,enemy
øyet,eye
mars,March
publikum,audience
tidspunkt,point
st.,st.
banker,banks
lavt,low
dekker,cover
tennene,teeth
elva,the river
bringer,bring
cia,CIA
hagen,garden
plikt,duty
skilt,divorced
brent,burnt
innenfor,within
victor,Victor
muligheten,possibility
v,V
offeret,the victim
vegne,behalf
utro,unfaithful
fingrene,fingers
uhell,accident
b,b
skapet,closet
naken,naked
jackson,jackson
ekteskapet,marriage
innser,realize
nettet,net
treffes,hit
rosa,pink
sjelden,rarely
spre,spread
dødd,dead
trykk,Print
heldige,lucky
hunder,dog
tvang,compulsion
smith,smith
gifter,toxins
spore,incentive
fjernet,removed
stil,style
gudene,gods
damene,the ladies
rasshøl,asshole
prinsesse,princess
smerten,pain
vitner,witnesses
følelsen,feeling
you,you
forestille,imagine
senator,senator
marcus,marcus
uskyldige,innocent
park,park
usas,America's
ranet,robbed
skylden,blame
fremmed,stranger
gammelt,old
nektet,denied
ron,ron
kontrollere,control
hysj,hush
bryllup,wedding
planlegger,plan
gjenta,repeat
clark,clark
emma,Emma
vinden,wind
drømmen,dream
trakk,pulled
fot,foot
dersom,if
pete,pet
dekning,coverage
donna,donna
tja,bar
knuller,fuck
beskyttet,protected
fa,few
ekkelt,disgusting
leiren,camp
bit,bit
redder,editor
partneren,partner
nakken,neck
urolig,uneasy
delta,participate
ide,idea
hemmelige,secret
jessica,jessica
fløy,flew
marty,marty
brutt,broken
sheldon,sheldon
buksene,pants
tilbyr,client
vettet,wet
deretter,thereafter
teamet,team
sies,said
beskjeden,modest
grader,degrees
roy,roy
sider,sides
staten,the state
grunner,Reasons
retning,direction
beskyttelse,protection
eiendom,property
invitert,invited
nivå,level
stykke,piece
skifte,shift
tett,closely
vaktene,guards
normal,normal
besatt,possessed
undersøke,survey
kjøp,buy
fylle,fill
vilt,wild
falsk,false
naturlig,natural
biter,pickle
skjult,candid
ideer,ideas
ligget,lying
atjeg,that I
verd,worth
angeles,angeles
rettferdighet,fairness
fakta,facts
tillit,trust
frykter,fear
vekke,arouse
heldigvis,Luckily
vest,west
banke,bank
skjønt,though
rømme,sour cream
black,black
fjerde,fourth
vedder,bet
tekst,text
yngre,younger
tog,train
historier,stories
klem,Hug
melk,milk
sekund,second
følt,felt
syn,sight
vegas,vegas
endrer,changing
tap,loss
trussel,threat
seier,victory
skjønne,understand
treet,the tree
leit,look
galskap,madness
purken,ceiling
signal,signal
knullet,fuck
skaffer,obtain
sykdom,disease
tungt,heavy
krefter,forces
fritt,free
gjengen,gang
stygg,ugly
tosk,fool
gjester,guest
annie,annie
rapporten,report
levd,lived
nærmeste,closest
river,tear
sanne,True
jackie,jackie
forbudt,forbidden
grønne,green
behandler,therapist
følelsene,feelings
sofaen,couch
fylt,filled
teknisk,technical
kreft,cancer
kontakter,contact
tomme,empty
lukket,close
definitivt,definitely
pluss,plus
timen,the hour
regel,rule
gav,gift
am,am
gjemt,hidden
laura,laura
julie,Julie
r,r
skaffet,obtained
pund,pound
engel,angel
banket,knocked
fulgt,follow
April,April
russerne,the Russians
informasjonen,information
roe,row
eventyr,fairytale
andrew,Andrew
krangle,quarrel
junior,junior
romantisk,romantic
dommeren,judge
gjeld,debt
prest,priest
steven,steven
sør,south
pene,pretty
king,king
hatten,hat
operasjon,operation
kostet,cost
forbindelse,connection
molly,molly
vokse,grow
blør,bleeds
sørger,mourn
stått,stood
gjette,guess
inviterte,invited
oppgave,task
knuste,smash
angre,regret
fordømte,condemn
røyker,smoker
ordrer,orders
magi,magic
avisen,newspaper
ond,evil
rødt,red
dreier,turn
johnson,Johnson
jammen,jam
typisk,typical
etterlot,left
stoff,fabric
kina,China
hell,hell
bodd,lived
kortet,card
kjempebra,Very good
plage,bother
ukjent,unknown
skremmende,terrifying
strømmen,the electricity
samler,collector
endte,ended
brandon,brandon
stilig,cool
forskjellen,the difference
nina,nina
sean,sean
stinker,stink
grave,dig
m,with
menneskelig,human
kjole,dress
jenny,jenny
katt,cat
gården,farm
still,exhibit
nemlig,in fact
døende,dying
rare,weird
fantastiske,wonderful
stygt,ugly
billig,cheap
parken,park
pikken,dick
kontakte,contact
personlige,personal
stilling,score
skitne,dirty
rapport,report
tåler,tolerate
erik,erik
terry,terry
sovet,slept
kartet,map
sykt,sick
kler,clothes
tyskerne,the Germans
pizza,pizza
gjest,guest
lily,lily
frivillig,voluntary
trolig,probably
advarsel,warning
drittsekken,assembly
hannah,Hannah
æren,credit
viss,certain
gjemte,hide
miller,Miller
spesielle,special
avgjørelse,decision
charlotte,charlotte
mistenkt,suspect
sommeren,summer
behandle,treat
tysk,German
eksisterer,exists
brann,fire
onkelen,uncle
kylling,chicken
tyskland,Germany
presse,press
plassen,place
mirakel,miracle
opplevd,experience
krav,claim
fitte,pussy
linje,line
landsbyen,the village
våkn,awake
kranglet,argued
forbannet,cursed
gjentar,repeat
spare,save
sliten,tired
toby,tooby
yeah,yeah
brød,bread
bøkene,the books
sverd,sword
restauranten,the restaurant
urettferdig,unjust
straff,penalty
kokain,cocaine
utstyret,equipment
fortjent,deserved
velsigne,bless
sittet,seated
suksess,success
aller,all
andres,other's
forsøkte,attempted
tvinge,coerce
humør,mood
blås,blow
tabbe,mistake
røyke,smoke
kunst,art
adgang,access
kledd,dressed
doug,booth
operasjonen,operation
lytte,listen
utsatt,exposed
fotball,soccer
miami,miami
rive,tear
pasient,patient
muligheter,possibilities
bekymrer,worries
fæl,gruesome
banen,path
samarbeide,cooperate
framtiden,future
stan,stan
carlos,carlos
pinlig,embarrassing
maskinen,machine
gar,gar
farge,color
mil,mile
kidnappet,kidnapped
radio,radio
nyte,enjoy
virkeligheten,reality
ansatt,employee
dørene,doors
basert,based
bravo,bravo
supert,Super
smake,taste
antakelig,probably
kriger,Warrior
west,West
eva,eva
wilson,wilson
fjellet,mountain
drømte,dreamed
kode,code
carter,Carter
framme,promote
interesse,interest
huden,skin
ført,fast
kake,cake
reisen,the journey
tilfeldig,random
måneden,month
adresse,address
geni,genius
sommer,summer
språk,language
villet,wild
jay,Jay
louis,louis
nesen,nose
fæle,terrible
forbrytelse,crime
ektemann,husband
stranden,beach
taylor,taylor
avsløre,disclose
velg,choose
torsdag,Thursday
tåpelig,foolish
lokale,local
muligens,possibly
risikere,risk
umiddelbart,immediately
lykkelige,happy
oversatt,translated
tall,number
leo,leo
teit,stupid
norsk,Norwegian
grav,grave
detaljer,detail
nysgjerrig,curious
ballene,balls
ledet,led
vakter,guards
sheriffen,sheriff
regne,count
ovenpå,top
stolen,chair
stjerne,star
bånd,band
klient,client
lide,suffer
skuespiller,actor
cole,coole
hvil,break
bjørn,bear
pusten,breath
dylan,dylan
innsiden,inside
unnskylde,excuse
opplysninger,information
vidunderlig,wonderful
gullet,gold
gudskjelov,goddess
fjern,remote
forstyrre,disturb
elven,river
innse,realize
rir,rimes
problemene,problems
okei,okay
kutte,cut
tips,timer
midten,middle
håndtere,handle
etterforskningen,the investigation
angrer,regret
carrie,carrie
tilbød,offer
vende,turn
alkohol,alcohol
skriker,screams
flyktet,fled
hitler,Hitler
sjanser,chances
dens,it
stenge,bar
midnatt,midnight
brystet,the chest
allikevel,still
koden,code
bensin,gasoline
lider,suffer
makten,the power
parker,park
fugl,bird
gruppen,group
svømme,swim
stygge,ugly
brødrene,brothers
desperat,desperate
samvittighet,conscience
narkotika,drug
brenda,brenda
imponert,impressed
sparke,kick
robin,robin
avdeling,department
respekterer,respect
års,year
rømte,escaped
løst,resolved
tusenvis,thousands
walker,walker
politikk,policy
indre,inner
offisielt,officially
restaurant,restaurant
cent,cent
tilbringe,spend
puster,breathe
skjære,cut
tirsdag,Tuesday
patrick,patrick
gordon,gordon
sola,sun
beholder,container
cooper,cooper
navnene,names
stenger,rods
nar,when
nathan,nathan
dobbelt,double
dna,DNA
vanskelige,difficult
overbevise,convince
rock,rock
sluppet,released
in,in
roper,shops
trene,exercise
kontrollen,control
no,no
inkludert,including
sukker,sugar
medlem,member
vender,turn
åstedet,the site
hill,hill
c,c
ørene,ears
halvtime,half hour
sikret,secured
gus,gus
kontakten,contact
gatene,streets
vitnet,witness
ombord,on board
begravelsen,the funeral
helen,helen
elliot,Elliot
kontanter,cash
signalet,signal
hengt,hung
forsøker,trying
riktige,right
katie,katie
istedenfor,instead of
enden,end
tilbudet,offer
truer,threatens
passende,appropriate
fysisk,physical
leger,doctors
forsøke,attempt
fremtid,future
lønn,payment
berlin,Berlin
ideen,idea
karl,Karl
hørtes,sounded
frankie,Frankie
farlige,dangerous
sjokk,shock
champagne,champagne
aaron,aaron
ann,other
ethan,ethan
nyt,enjoy
baller,balls
kaos,chaos
nevne,mention
kjeften,jaw
direktør,director
nr,no
show,show
hundrevis,hundreds
forsvar,defense
lat,lazy
skatten,tax
fryser,freezer
firma,company
ran,robbery
størrelse,size
pastor,pastor
vurdere,appraise
snur,turn
ledig,available
star,stands
dyrt,expensive
trynet,threat
bestille,order
spanderer,spend
bygd,vest
moderne,modern
nevnt,mentioned
rebecca,rebecca
amerikanere,Americans
livs,life
forlat,leave
talent,talent
markedet,market
tilgir,forgive
sliter,struggling
pakket,packed
sverdet,sword
byens,city
kino,cinema
stig,ladder
nancy,nancy
videoen,the video
rykter,rumours
ånd,spirit
oscar,Oscar
sorg,sorrow
såre,wound
private,private
bilene,cars
lo,laugh
hardere,have you
greiene,stuff
mac,mac
rakk,reach
høyeste,highest
øst,East
kuttet,cut
soverommet,bedroom
leie,rent
tilstand,state
bauer,bauer
familier,families
wayne,wayne
tyske,German
skyss,kiss
utstyr,equipment
rimelig,inexpensive
murphy,Murphy
sår,wound
steg,step
låter,song
enklere,simpler
spøker,jokes
ball,ball
minnet,memory
lederen,leader
advare,warning
brown,brown
selve,itself
hat,hate
kaffen,coffee
skynde,hurry
grusomt,cruel
fornuftig,reasonable
rådet,advice
slaget,battle
basen,base
nært,close
lekker,nice
francis,francis
kraftig,forceful
post,mail
ricky,ricky
sprenge,blow
afrika,Africa
media,media
triks,trick
karriere,career
fengslet,imprisoned
school,school
sjokolade,chocolate
tillegg,addition
kjerring,girlfriend
bevæpnet,armed
fyller,fill
enorm,huge
drevet,power
kofferten,the briefcase
hullet,hole
lukten,smell
godtar,accept
klager,complain
tullet,fool
skjønnhet,beauty
koste,cost
soldatene,the soldiers
arrestere,arrest
bevege,move
dom,sentence
betydde,meant
narr,fun
strøm,current
spørsmålene,the questions
showet,the show
trives,thrive
avgjøre,decide
risikerer,risks
skille,separate
hvitt,white
aften,evening
høyhet,high
offiser,officer
russisk,Russian
kopi,copy
vince,vince
jaha,jaha
taxi,taxi
oppføre,behave
gjor,do
fingeren,finger
siktet,wise
green,green
kart,map
berømt,famous
forsikre,insure
rykte,reputation
jordan,Jordan
beth,beth
medisinen,medicine
sjarmerende,charming
kontaktet,contacted
fungerte,worked
begått,committed
faktum,fact
carla,Carla
ali,ali
studere,study
desto,the
ost,East
tyv,thief
bytter,change
evner,ability
løser,solve
stilte,quiet
ronnie,ronnie
mennesket,human
behandling,treatment
brydde,cared
derek,derek
universet,the universe
oppi,uphill
bekrefte,confirm
boston,boston
helsike,health
avsluttet,end
kraften,the power
beundrer,admire
nesa,nose
livene,lives
karrieren,career
hæ,what
papirer,papers
lucas,lucas
fortjente,deserve
beslutning,decision
ross,ross
sentrum,downtown
katten,cat
invitere,invite
fullføre,complete
stukket,stabbed
planet,planet
regn,rain
super,super
kalde,cold
søke,seek
politisk,political
russland,Russia
jamie,jamie
oppnå,achieve
forleden,the other day
lincoln,lincoln
olje,oil
lagd,layer
kuler,bullet
kyle,kyle
boks,can
grønn,green
femte,fifth
tillater,allow
detaljene,details
chloe,chloe
sannhet,truth
ofrene,victims
universitetet,university
isen,ice
milliarder,billion
samfunnet,society
sjøen,sea
trening,training
homse,homse
hate,hate
juli,July
hjemmefra,from home
stede,facing
avslørt,revealed
jomfru,Virgin
utviklet,developed
fremover,forwards
søta,sweet
heks,witch
rapporter,report
jesse,jesse
lysene,lights
fremme,promote
rot,root
monsieur,monsie
pappas,dad
todd,Todd
forhandle,negotiate
tester,tester
ca,about
billetter,tickets
wow,wow
rørt,touched
muren,wall
holdes,kept
russiske,Russian
avhengig,dependent
starten,the start
tekster,text
hjerne,brain
godta,concede
løftet,attic
leslie,leslie
fokusere,focus
bevisene,the evidence
florida,florida
akseptere,accept
folka,people
sinnet,mind
ørkenen,desert
eh,eh
papir,paper
treff,meet
kunder,customers
bruce,bruce
motoren,engine
lær,leather
gaver,gifts
bundet,bound
sikte,aim
josh,josh
nordover,North
melde,report
slemme,smother
bygde,built
forårsaket,caused
knyttet,related
utføre,perform
avgjort,decided
elleve,eleven
dukke,doll
kilden,source
øyeblikkelig,immediately
eieren,owner
suge,suck
norske,Norwegian
innbrudd,burglary
rad,advice
hustru,wife
knuser,crush
vekket,aroused
g,g
drosje,taxi
bortkastet,wasted
gris,pig
island,Iceland
nabolaget,neighborhood
tung,heavy
garasjen,garage
seth,seth
svake,weak
revet,torn
internett,Internet
bevegelse,motion
havne,port
jakte,hunt
sinn,mind
skiftet,shift
advarte,warned
mason,mason
omgang,company
franske,French
slottet,castle
vanskeligere,harder
hensikt,purpose
fortsatte,continued
nyttig,useful
pakk,pack
dømme,judge
himmel,heaven
begravelse,funeral
service,service
besøkte,visited
pisspreik,pissed
smiler,smiles
korrekt,correct
jakter,hunts
tvunget,forced
tilfeldigvis,accidentally
juling,beating
fordel,advantage
kne,knee
rasende,furious
nøkkel,key
skrek,screamed
klatre,climb
overgi,surrender
midlertidig,temporary
pikk,dick
tarzan,tarzan
framtid,future
francisco,francisco
synder,sinner
my,my
mislykkes,fail
folks,people
sinne,anger
system,system
skrike,scream
blikket,look
naturen,nature
døgnet,day
sønner,sons
løyet,lied
underlig,strange
broder,brother
biblioteket,library
margaret,margaret
spion,spy
typer,types
nedover,down
tjente,served
monroe,monroe
dødelig,deadly
dick,dick
morn,mother
tegnet,drawn
stjernene,stars
overens,though
edward,edward
overta,take over
sengs,bed
storm,storm
vasket,washed
løft,boost
tunge,tongue
akter,stern
hal,half
bestilt,ordered
norwegian,Norwegian
harold,harold
rollen,role
kollega,colleague
boksen,box
skjulte,hidden
fan,fan
kvalm,nauseous
buret,cage
feit,fat
sta,stubborn
bestilte,ordered
langsomt,slow
marie,Marie
bane,track
fingeravtrykk,fingerprint
skar,cut
fett,fat
kriminelle,criminal
motstand,resistance
ilden,fire
skiltet,the sign
forsinket,overdue
kos,cuddle
bunnen,bottom
september,September
christian,Christian
teddy,teddy
drinker,drinker
evighet,eternity
sinte,angry
overlevende,survivor
klage,complaint
juryen,jury
likene,bores
betty,Betty
vurderer,assess
program,program
mannskapet,crew
ah,ah
åssen,hill
palmer,palms
lav,low
helg,weekend
irriterende,irritating
f,f
hellig,holy
sving,turn
pupper,tits
anthony,anthony
lovlig,lawful
planla,planned
feirer,celebrate
samarbeider,collaborate
agenter,agent
kunde,customer
teori,theory
inntrykk,impression
stormen,storm
ledelsen,lead
hende,hand
sammy,Sammy
mulige,possible
vesken,bag
heisen,the elevator
posten,the mail
sannelig,indeed
styret,the board
piss,piss
linjen,line
telle,count
it,IT
ralph,ralph
uskadd,unharmed
sverige,Sweden
gidder,bother
lukte,smell
fester,parties
times,times
mordet,murder
framover,forward
ambulanse,ambulance
medisinsk,medical
amerikaner,American
kommandør,commander
salt,salt
presten,the priest
mellomtiden,meantime
sivile,civilian
løfter,lift
journalist,journalist
skitt,dirt
rygg,back
hemmeligheten,the secret
begikk,committed
gress,grass
frekk,rude
tvinger,force
utvei,way out
kirke,church
grenser,boundary
glimrende,brilliant
overbevist,convinced
mektig,powerful
graver,tombs
rettssaken,trial
vaere,be
mørk,dark
trett,tired
tyder,suggest
noah,noah
leverer,delivers
tyler,tyler
stanset,stopped
hr,HR
kreftene,forces
frie,free
lukke,close
trengt,needed
dress,suit
greide,managed
rå,raw
avdelingen,department
grønt,green
bursdag,birthday
forberede,prepare
skitten,filthy
troen,belief
vogna,carriage
bassenget,pool
hollywood,hollywood
lane,borrow
alarm,alarm
lignende,similar
jon,jon
javisst,sure
kontrakten,contract
dumpet,dump
lojalitet,loyalty
ropte,shouted
øker,builder
sprit,liquor
fangene,prisoners
plukket,picked
vasker,wash
påstår,claim
vinteren,winter
forfatter,author
overraskende,surprising
drittsekker,bold
intervjuet,interviewed
oppleve,experience
forklar,explain
stranda,the beach
skrik,scream
sprer,spread
katastrofe,disaster
skremt,scared
skjærer,cutting
forandring,change
speilet,mirror
kysten,Coast
sherlock,sherlock
amerikanerne,Americans
sultne,hungry
øret,ear
marco,marco
representerer,represents
malcolm,malcolm
virginia,virginia
magisk,Magical
feste,attach
onsdag,Wednesday
spansk,Spanish
grusom,cruel
trukket,drawn
white,white
legene,doctors
klok,wise
fjellene,mountains
canada,canada
fetter,cousin
trent,trained
forsvaret,the defense
berømte,famous
lewis,lewis
nærme,approach
brannen,fire
dexter,dexter
señor,señor
drømt,dream
russell,russell
utført,done
ekspert,expert
hud,skin
pasienten,the patient
besøker,visit
brad,brad
sverget,sworn
haster,urgent
kongens,king
fattige,poor
pakker,packages
idioten,the idiot
bursdagen,birthday
søk,search
mia,mia
øve,practice
sittende,seated
sikt,term
jakken,jacket
delte,shared
forsvarer,Defender
bibelen,the Bible
video,video
daisy,daisy
sovnet,asleep
utenom,except
maskin,machine
avisene,newspapers
ms.,MS.
begå,commit
stirrer,stares
formue,fortune
tørst,thirst
krangler,fighting
apropos,Apropos
forlovet,engaged
me,ME
lake,lake
matthew,matthew
oppførsel,behavior
spøkelse,ghost
dusin,dozen
menneskeheten,humanity
nådd,reached
punkt,point
føtter,feet
feiging,coward
enkle,simple
viruset,virus
baksiden,aspect
vennskap,friendship
grant,grant
plukke,pick
datamaskinen,computer
trykket,pushed
befinner,recalls
satan,satan
august,August
house,house
fornuft,reason
risiko,risk
graven,tomb
kroner,NOK
fornøyelse,amusement
horer,listen
alles,everyone's
forbli,stay
mobil,mobile
brukket,broken
k,k
varmen,heat
mus,mouse
bandet,band
greg,Greg
martha,martha
livets,life
ryktet,rumored
assistent,assistant
dæven,deaf
harde,hard
homo,gay
inneholder,contain
totalt,total
låse,lock
hytta,the cabin
barbara,Barbara
ordren,order
kompisen,buddy
norge,Norway
tas,taken
pokkers,heck
sykkelen,the bike
rettssak,trial
trærne,trees
happy,happy
venninne,friend
sally,Sally
beverly,beverly
veska,bag
latter,laughter
harvey,harvey
teste,test
alternativ,option
enhet,unit
jess,jess
filme,film
skyldes,are due to
læreren,teacher
eksamen,exam
begrave,bury
fabrikken,factory
britiske,British
brant,burned
feite,fat
test,test
nyheten,news
faens,fool
kunnet,could
nate,nate
fantasi,imagination
alexander,alexander
gass,gas
innsats,effort
baker,bakes
vincent,vincent
leir,camp
forræder,traitor
kontrakt,contract
reparere,repair
teknologi,technology
godkjent,approved
kurt,kurt
lydia,sound
grand,grand
forgiftet,poisoned
doktoren,the doctor
smarte,smart
overstått,over
blande,mix
naboen,neighbor
raymond,raymond
søppel,garbage
ekstremt,extremely
jaget,chase
gjestene,guests
tjue,twenty
gaven,gift
jada,Yes
brakte,brought
utover,beyond
jævler,fuck
tilhørte,belonged
snø,snow
årets,this year's
williams,williams
ruth,routh
taler,speaker
normale,normal
innrømmer,admit
ammunisjon,ammunition
temmelig,pretty
kjøleskapet,the refrigerator
brudd,break
fortapt,lost
militæret,military
vekt,weight
forsiktige,care
madam,madam
allen,allen
butikk,shop
filmet,filmed
skiller,separates
klapp,clap
sjåføren,driver
presser,press
melder,report
landets,the country's
antagelig,presumably
hevder,claims
liz,liz
abby,abby
verdi,value
tallene,the numbers
puppene,the tits
tøffe,tough
buss,bus
ubehagelig,unpleasant
plaget,loore
hundene,dogs
tisse,Pee
svinet,pig
danset,dance
haug,bunch
buksa,trousers
pga,because of
pasienter,patients
naboene,neighbors
bønner,beans
hav,ocean
påvirket,affected
fortid,past
militære,military
tilstå,confess
piller,pill
bakover,backwards
slave,slave
identifisere,identify
benjamin,benjamin
eldste,oldest
one,One
kreves,required
styr,steer
levert,delivered
krysset,crossed
kristus,Christ
anklager,accusing
re,re
nyter,enjoy
søstre,sisters
båndet,band
benny,benny
shaw,shaw
planene,plans
blikk,glance
skadd,injured
hviler,resting
øre,ear
påvirker,affect
sloss,fight
etterlater,leaves
madame,madame
art,species
ofret,victim
talen,speech
dusj,shower
drite,drite
ondskap,evil
skift,shift
sparer,saving
forhindre,prevent
mai,May
sannsynlig,likely
status,status
seint,late
praktisk,practical
resultatet,result
brente,burnt
geværet,rifle
natur,nature
overtale,persuade
oktober,October
carson,carson
koble,connect
senk,lower
lån,loan
vesten,west
dyrene,the animals
omgås,bypass
klippe,cliff
dennis,dennis
spencer,spencer
slaver,slave
regningen,the bill
fatt,the end
skjorta,shirt
guvernør,governor
steinen,stone
dale,valley
helter,heroes
telefoner,phones
stillhet,silence
afghanistan,Afghanistan
mesteren,master
prøven,sample
stilt,watch
pablo,pablo
påvirke,influence
opptak,recording
teppet,carpet
skulderen,shoulder
tilgivelse,forgiveness
rev,Fox
gjem,hide
overflaten,surface
band,band
ulykken,the accident
brakk,broke
amanda,Amanda
mick,mick
leide,rented
turk,turk
dermed,thus
detektiv,detective
trappen,stairs
kur,cure
avgjør,bin
forblir,stays
admiral,admiral
drømme,dream
magiske,magic
knærne,knees
klassen,class
b.,b.
avhenger,depends
anledning,occasion
rømt,escape
marshall,marshall
travis,travis
antall,Number
spania,Spain
statsministeren,the prime minister
paige,Paige
clay,clay
klienten,client
flau,embarrassed
mitchell,mitchell
menneskelige,human
gjengjeld,reciprocate
stillingen,position
flykter,flee
scene,stage
testet,tested
svikter,fails
angela,angela
kontrollerer,control
nekte,deny
rektor,headmaster
fetteren,cousin
uventet,unexpected
generalen,general
heroin,heroin
koselig,cozy
tidspunktet,time
davis,davis
òg,and
utrolige,incredible
støttet,supported
dører,doors
ellen,Ellen
fjerner,removes
våt,wet
studerte,studied
svi,steal
bitt,bite
kreve,demand
andel,share
hilsen,regards
enormt,huge
bokstavelig,literal
satser,bet
handling,action
dusjen,shower
likner,similar
opprør,rebellion
justin,justin
arm,arm
jungelen,jungle
sparker,kick
straffe,punish
delt,divided
frykten,fear
bevare,preserve
pakken,package
lander,lander
øy,island
sol,sun
evne,ability
søkte,searched
forsterkninger,reinforcements
partnere,partners
sykepleier,nurse
applaus,applause
casey,casey
stolthet,pride
utnytte,exploit
tjent,served
timene,hours
fugler,birds
jager,fighter
eiendommen,property
koblet,connected
dypere,deeper
mektige,powerful
verdig,worthy
insisterer,insist
bransjen,industry
santa,Santa
fjeset,face
hurra,hurray
kundene,the customers
jersey,jersey
helten,the hero
misforståelse,misconception
anta,assume
male,measure
cæsar,cesar
piper,beet
sikkerheten,security
india,india
stoffet,drug
gleden,joy
allierte,Allies
gangs,passage
betydning,importance
kilde,source
rita,rita
rørte,touch
ens,one's
penn,pen
rope,reveal
artikkelen,article
sørover,southwards
albert,albert
raske,fast
intervju,interview
seinere,later
etterlate,leave
guvernøren,governor
gjerdet,fence
little,lazy
bla,blue
prosjektet,project
let,look
felix,Felix
stykket,piece
veit,know
stark,stark
lou,lou
freddy,freddy
hang,hang
marinen,Navy
queen,queen
manny,manny
enorme,huge
steng,bar
spark,kick
lånte,borrowed
julenissen,Santa Claus
grå,gray
beordret,ordered
enheter,units
blåse,blow
krysse,intersect
artig,fun
jonathan,jonathan
rede,nest
bukser,pants
trær,trees
usikker,unsure
motsatte,opposite
direktøren,Director
nevner,mention
neil,neil
handlinger,actions
tjenester,services
slekt,family
syng,sing
fleiper,joking
niks,nothing
monica,monica
prosjekt,project
gina,gina
tryggere,safer
tilgjengelig,available
druknet,drowned
bestefaren,grandfather
heng,hang
logan,logan
cm,cm
veggene,walls
spent,glare
utnyttet,exploited
jævlene,bother
sandy,sandy
egoistisk,selfish
grundig,thorough
regjering,government
høflig,polite
utsette,delay
helikopter,helicopter
pappaen,dad
overraske,surprise
megan,megan
warren,Warren
sjåfør,driver
stiger,ladders
drømmene,dreams
quinn,quinn
rettigheter,rights
ondt,evil
bomber,bomber
reaksjon,reaction
advokater,lawyers
kutter,cutter
skifter,change
juni,June
månedene,months
november,November
brooklyn,brookly
videregående,high school
kvarter,quarter
løslatt,release
oppdager,discovers
søstera,sister
kinesisk,Chinese
edru,sober
walt,walt
kongressen,congress
lageret,warehouse
grad,degree
vekker,alarm
begravd,buried
fjell,Mountain
gloria,gloria
smartere,smarter
trykke,print
burt,abandon
politiske,political
ekkel,nasty
verk,work
fascinerende,fascinating
kortene,cards
lista,list
houston,houston
blomstene,the flowers
slange,snake
lojal,loyal
stemte,vote
språket,language
populær,popular
vakten,guard
skallen,skull
delene,parts
familiene,families
uhøflig,impolite
flukt,escape
innpå,in on
carol,carol
ærede,honored
friheten,freedom
rocky,rocky
forsøkt,tried
jonas,jonas
vampyr,vampire
led,suffer
krise,crisis
pisse,piss
kø,queue
italia,Italy
blandet,mixed
kongelige,royal
trøst,comfort
politifolk,police
flokken,herd
sykdommen,the disease
hindrer,prevents
glasset,glass
ulykkelig,unhappy
keith,Keith
armer,arms
logisk,logical
lur,nap
nakne,naked
konkurranse,competition
klandrer,blanders
fisken,fish
tunnelen,tunnel
lastebilen,truck
tragisk,tragic
louise,louise
sebastian,sebastian
e-post,email
klokke,clock
kjeder,chains
utsiden,outside
modell,model
vindu,window
sanger,singer
forbrytelser,crimes
norman,norman
forstyrret,disturbed
pillene,pills
grep,grip
jobba,job
tålmodig,patient
billett,ticket
uti,outdoor
kenny,kenny
mordere,killer
tynn,thin
oppdage,discover
uniform,uniform
gjaldt,concern
stående,standing
indianerne,Indians
avslutter,ends
harris,harris
feber,fever
hunter,hunter
county,county
dømmer,judge
boy,Bend
nydelige,lovely
verdenen,world
artikkel,article
judy,judy
julian,Julian
trykker,print
signere,sign
vampyrer,vampires
etterforskning,investigation
tauet,rope
skygge,shade
tillate,allow
ulv,wolf
straffen,punishment
rapportere,report
ånden,spirit
johan,Johan
las,lock
oppgaven,task
stanley,stanley
kirk,church
collins,collins
ødelegg,destroy
misliker,dislike
stress,stress
smile,smile
usynlig,invisible
holmes,holme
mitch,mitch
avbryte,interrupt
advarer,warn
løsningen,the solution
rase,race
oppfør,list
last,cargo
kvitte,rid
helikopteret,the helicopter
lukker,closes
peker,pointer
jennifer,Jennifer
jakten,hunt
joan,Joan
meldte,reported
bekrefter,confirms
uttrykk,expression
ken,cheen
brody,Brody
noens,someone's
profesjonell,professional
morsomme,funny
overfalt,assault
hector,hector
varene,goods
overtar,take over
vakreste,most beautiful
jage,chase
låser,locks
kapittel,chapter
lande,land
beskrive,describe
ressurser,resources
styrken,strength
midler,funds
ekle,nasty
diane,diane
lekte,played
